célia,célia.N+Pr:fs;@SÉ-LÍ-6
eleições,eleição.N:fp;Ê-LÊY-@SÕỸS
olheiros,olheiro.N:mp;Ô-@ĹÊY-ŔUS
pescador,pescador.A:ms;PÊS-KÁ-@DÔH
pescador,pescador.N:ms;PÊS-KÁ-@DÔH
quatros,quatro.N:mp;@KWÁ-TŔUS
profundas,profundo.A:fp;PŔÔ-@FŨ-D6S
profundas,profundo.V:P2s;PŔÔ-@FŨ-D6S
profundas,profundo.N:fp;PŔÔ-@FŨ-D6S
mínima,mínimo.A:fs;@MĨ-NÍ-M6
mínima,mínimo.N:fs;@MĨ-NÍ-M6
mínima,mínimo.A:fs;@MĨ-NÍ-M6
mínima,mínimo.N:fs;@MĨ-NÍ-M6
marrocos,marrocos.N+Pr:;MÁ-@HÓ-KUS
são,são.A:ms;@SÃŴ
são,são.V:P3p;@SÃŴ
são,são.N:ms;@SÃŴ
são,são.A:ms;@SÃŴ
são,são.V:P3p;@SÃŴ
são,são.N:ms;@SÃŴ
são,são.A:ms;@SÃŴ
são,são.V:P3p;@SÃŴ
são,são.N:ms;@SÃŴ
são,são.A:ms;@SÃŴ
são,são.V:P3p;@SÃŴ
são,são.N:ms;@SÃŴ
imperícia,imperícia.N:fs;Ĩ-PÊ-@ŔÍ-SÍ-6
defenderam,defender.V:J3p;DÊ-FẼ-@DÊ-ŔÃŴ
defenderam,defender.V:Q3p;DÊ-FẼ-@DÊ-ŔÃŴ
reduzimos,reduzir.V:P1p;HÊ-DÚ-@ZĨ-MUS
reduzimos,reduzir.V:J1p;HÊ-DÚ-@ZĨ-MUS
peca,peco.A:fs;@PÉ-K6
peca,peco.V:P3s;@PÉ-K6
peca,peco.V:Y2s;@PÉ-K6
peca,peco.N:fs;@PÉ-K6
consertos,conserto.N:mp;KÕ-@SÊH-TUS
plantel,plantel.N:ms;PLÃ-@TÉW
importar,importar.V:W1s;Ĩ-PÔH-@TÁH
importar,importar.V:W3s;Ĩ-PÔH-@TÁH
importar,importar.V:U1s;Ĩ-PÔH-@TÁH
importar,importar.V:U3s;Ĩ-PÔH-@TÁH
mocho,mocho.A:ms;@MÔ-XU
mocho,mocho.V:P1s;@MÔ-XU
mocho,mocho.N:ms;@MÔ-XU
mocho,mocho.A:ms;@MÔ-XU
mocho,mocho.V:P1s;@MÔ-XU
mocho,mocho.N:ms;@MÔ-XU
conviveram,conviver.V:J3p;KÕ-VÍ-@VÊ-ŔÃŴ
conviveram,conviver.V:Q3p;KÕ-VÍ-@VÊ-ŔÃŴ
vistoriaram,vistoriar.V:J3p;VÍS-TÔ-ŔÍ-@Á-ŔÃŴ
vistoriaram,vistoriar.V:Q3p;VÍS-TÔ-ŔÍ-@Á-ŔÃŴ
cotações,cotação.N:fp;KÔ-TÁ-@SÕỸS
locutores,locutor.A:mp;LÔ-KÚ-@TÔ-ŔIS
locutores,locutor.N:mp;LÔ-KÚ-@TÔ-ŔIS
encaminhadas,encaminhado.A:fp;Ẽ-KÁ-MĨ-@ÑÁ-D6S
encaminhadas,encaminhado.V:K;Ẽ-KÁ-MĨ-@ÑÁ-D6S
divulga,divulgar.V:P3s;8Í-@VÚW-G6
divulga,divulgar.V:Y2s;8Í-@VÚW-G6
diminui,diminuir.V:P3s;8Í-MÍ-@NÚY
diminui,diminuir.V:Y2s;8Í-MÍ-@NÚY
ampliações,ampliação.N:fp;Ã-PLÍ-Á-@SÕỸS
interrompeu,interromper.V:J3s;Ĩ-TÊ-HÕ-@PÊW
inimigo,inimigo.A:ms;Í-NÍ-@MÍ-GU
inimigo,inimigo.N:ms;Í-NÍ-@MÍ-GU
inimigo,inimigo.A:ms;Í-NÍ-@MÍ-GU
inimigo,inimigo.N:ms;Í-NÍ-@MÍ-GU
dublado,dublar.V:K;DÚ-@BLÁ-DU
acabe,acabar.V:S1s;Á-@KÁ-BI
acabe,acabar.V:S3s;Á-@KÁ-BI
acabe,acabar.V:Y3s;Á-@KÁ-BI
acabe,acabar.V:S1s;Á-@KÁ-BI
acabe,acabar.V:S3s;Á-@KÁ-BI
acabe,acabar.V:Y3s;Á-@KÁ-BI
necessárias,necessário.A:fp;NÊ-SÊ-@SÁ-ŔÍ-6S
necessárias,necessário.N:fp;NÊ-SÊ-@SÁ-ŔÍ-6S
tolas,tolo.A:fp;@TÔ-L6S
tolas,tolo.N:fp;@TÔ-L6S
ventre,ventre.N:ms;@VẼ-TŔI
desaparecer,desaparecer.V:W1s;DÊ-ZÁ-PÁ-ŔÊ-@SÊH
desaparecer,desaparecer.V:W3s;DÊ-ZÁ-PÁ-ŔÊ-@SÊH
desaparecer,desaparecer.V:U1s;DÊ-ZÁ-PÁ-ŔÊ-@SÊH
desaparecer,desaparecer.V:U3s;DÊ-ZÁ-PÁ-ŔÊ-@SÊH
desaparecer,desaparecer.V:W1s;8Í-ZÁ-PÁ-ŔÊ-@SÊH
desaparecer,desaparecer.V:W3s;8Í-ZÁ-PÁ-ŔÊ-@SÊH
desaparecer,desaparecer.V:U1s;8Í-ZÁ-PÁ-ŔÊ-@SÊH
desaparecer,desaparecer.V:U3s;8Í-ZÁ-PÁ-ŔÊ-@SÊH
previsão,previsão.N:fs;PŔÊ-VÍ-@ZÃŴ
correção,correção.N:fs;KÔ-HÊ-@SÃŴ
ágil,ágil.A:ms;@Á-JIW
ágil,ágil.A:fs;@Á-JIW
coordenação,coordenação.N:fs;KÔ-ÔR-DÊ-NÁ-@SÃŴ
trovão,trovão.N:ms;TŔÔ-@VÃŴ
jazz,jazz.N:ms;@8ÉS
